StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q5_5_TEXT,Q6,Q6_7_TEXT,Q7,Q7_4_TEXT,Q8,Q9,Q9_4_TEXT,Q10,Q11,Q11_7_TEXT,Q12,Q13,Q14,Q15,Q15_7_TEXT,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q43_6_TEXT,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,BACB requirements,Years certified,Years supervisor,Area of study - Selected Choice,Area of study - Other - Text,Job classification - Selected Choice,Job classification - Other - Text,Place of employment - Selected Choice,Place of employment - Other - Text,State,Supervision mode - Selected Choice,Supervision mode - Other - Text,Supervision format,Supervision training - Selected Choice,Supervision training - Other - Text,100% fieldwork candidates,100% fieldwork pass rate,Discontinued fieldwork,Supervision resources - Selected Choice,Supervision resources - Other - Text,Confirm required skill set,Number of candidates,Literature for new competency area,Professional groups,Outside training area (yes/no),Outside training area - credentialing requirements,Outside training area - training and supervision,Allotted hours,Number of clients,60% fieldwork hours,Who dictates caseload,Supervise RBTs (yes/no),RBT supervision %,Peer evaluate,Past 12 months candidates,Supervision schedule,Scheduled hours,Practice skill set,Written supervision contract,Positive and corrective feedback,Supervision termination clause,Behavior skills training,Discourage distractions,Evaluate supervisee performance,Performance expectations,Written evaluation system,Supervision fieldwork protocol source - Selected Choice,Supervision fieldwork protocol source - Other - Text,Document feedback,Review supervision contract,Evaluate client performance,Return communications within 48 hours,Supervision fidelity,Instructions and demonstration,Take baseline,Detect barriers to supervision,BST case presentation,Send agenda,Immediate feedback,Continue professional relationship,Observe body language,Schedule contacts,Maintain positive rapport,Self-assess interpersonal skills,Group supervision,Create group activities,Supervisory study groups,Include ethics,Arrive on time,Discuss how to give feedback,Schedule direct observations,Schedule standing supervision appointments,Review literature,Meeting notes,Attend conferences,Peer review opportunity,Participate in peer review,Seek mentorship
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_7_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_4_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_7_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_7_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID31""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27""}","{""ImportId"":""QID81""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID40""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID57""}","{""ImportId"":""QID32""}","{""ImportId"":""QID30""}","{""ImportId"":""QID34""}","{""ImportId"":""QID42""}","{""ImportId"":""QID45""}","{""ImportId"":""QID50""}","{""ImportId"":""QID47""}","{""ImportId"":""QID44""}","{""ImportId"":""QID64""}","{""ImportId"":""QID54""}","{""ImportId"":""QID48""}","{""ImportId"":""QID51""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_6_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID46""}","{""ImportId"":""QID55""}","{""ImportId"":""QID63""}","{""ImportId"":""QID56""}","{""ImportId"":""QID49""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID53""}","{""ImportId"":""QID75""}","{""ImportId"":""QID65""}","{""ImportId"":""QID39""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID80""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76""}","{""ImportId"":""QID62""}","{""ImportId"":""QID77""}","{""ImportId"":""QID83""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}"
2018-11-08 04:59:36,2018-11-08 05:00:24,IP Address,12.39.178.14,100,48,True,2018-11-08 05:00:26,R_eV4H79sKkxcB3Zn,,,,,32.7787017822266,-96.8217010498047,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08 05:00:32,2018-11-08 05:10:07,IP Address,12.39.178.14,100,574,True,2018-11-08 05:10:08,R_2tcnopILDPw8kvA,,,,,32.7787017822266,-96.8217010498047,anonymous,EN,Yes,5,5,Psychology,,Counselor,,Home-based,,Alaska,University,,Group fieldwork,Individual mentoring,,5,5,5,Monetary compensation,,Sometimes (41-60%),7-11 candidates,Sometimes (41-60%),Rarely (21-40%),No,,,1-5 hours a week,4-7 clients/consumers,Rarely (21-40%),Employer,Yes,15% of patient's direct services,Sometimes (41-60%),1-3 candidates,Rarely (21-40%),1-5 hours a week,Rarely (21-40%),Rarely (21-40%),Sometimes (41-60%),Almost never (0-20%),Almost never (0-20%),Rarely (21-40%),Rarely (21-40%),Rarely (21-40%),Rarely (21-40%),"Mentorship,Live CEU events",,Usually (61-80%),Sometimes (41-60%),Sometimes (41-60%),Sometimes (41-60%),Sometimes (41-60%),Sometimes (41-60%),Sometimes (41-60%),Rarely (21-40%),Usually (61-80%),Rarely (21-40%),Sometimes (41-60%),Rarely (21-40%),Sometimes (41-60%),Rarely (21-40%),Sometimes (41-60%),Sometimes (41-60%),Rarely (21-40%),Rarely (21-40%),Rarely (21-40%),Rarely (21-40%),Sometimes (41-60%),Rarely (21-40%),Almost never (0-20%),Almost never (0-20%),Almost never (0-20%),Rarely (21-40%),Rarely (21-40%),Yes,Almost never (0-20%),Rarely (21-40%)
2018-11-14 13:18:24,2018-11-14 13:18:45,IP Address,208.87.234.180,100,21,True,2018-11-14 13:18:46,R_2Y3wSpyfRJ5hWXB,,,,,38.8759002685547,-77.015998840332,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14 13:15:02,2018-11-14 13:22:41,IP Address,104.182.165.142,100,459,True,2018-11-14 13:22:42,R_z262jKci6X3MH7P,,,,,29.5749969482422,-98.2279968261719,anonymous,EN,Yes,2,2,Psychology,,Behavior analyst,,Home-based,,Texas,Agency,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,2,2,0,"Administrative assistance,Training on supervision practices,Supervision Curriculum",,Usually (61-80%),1-3 candidates,Almost always (81-100%),Almost never (0-20%),No,,,11-15 hours a week,12+ clients/consumers,Sometimes (41-60%),Self,Yes,20% of patient's direct services,Almost always (81-100%),1-3 candidates,Almost never (0-20%),11-15 hours a week,Usually (61-80%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),"Graduate course work material,Published supervision curriculum",,Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Usually (61-80%),Almost always (81-100%),Almost never (0-20%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost never (0-20%),Almost never (0-20%),Rarely (21-40%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Rarely (21-40%),No,,Usually (61-80%)
2018-11-14 13:15:36,2018-11-14 13:23:12,IP Address,50.207.232.114,100,455,True,2018-11-14 13:23:13,R_2rownjbbBAW8vbm,,,,,37.5735015869141,-122.046905517578,anonymous,EN,Yes,7,7,Education,,Behavior analyst,,Other,,California,Individual private practice,,Individual fieldwork,"Internet based continuing education,Conferences or workshops,Individual mentoring",,3,3,0,"Protected office planning time,Training on supervision practices,Performance feedback from another BCBA Supervisor,Supervision Curriculum",,Almost always (81-100%),1-3 candidates,Almost always (81-100%),Sometimes (41-60%),Yes,Almost always (81-100%),Almost always (81-100%),0 hours,12+ clients/consumers,Almost always (81-100%),Employer,Yes,5% of patient's direct services,Usually (61-80%),1-3 candidates,Usually (61-80%),1-5 hours a week,Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Almost always (81-100%),"Graduate course work material,Mentorship,Live CEU events,Online CEU training",,Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Almost always (81-100%),Almost always (81-100%),Almost never (0-20%),Almost never (0-20%),Almost never (0-20%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Yes,Almost always (81-100%),Almost always (81-100%)
2018-11-14 13:14:29,2018-11-14 13:23:17,IP Address,108.188.58.197,100,528,True,2018-11-14 13:23:17,R_3Pc1dcy3c5ufbZd,,,,,28.0673065185547,-80.6780014038086,anonymous,EN,Yes,6,5,Behavior analysis,,Behavior analyst,,University or college,,Florida,University,,Intensive practicum,Internet based continuing education,,11,11,0,Other,There is no option to select 'none',Rarely (21-40%),1-3 candidates,Usually (61-80%),Rarely (21-40%),Yes,Almost always (81-100%),Almost always (81-100%),1-5 hours a week,I do not provide consultation to clients/consumers,Almost always (81-100%),I do not provide consultation to clients/consumers,No,I do not supervise RBTs.,Rarely (21-40%),1-3 candidates,Almost always (81-100%),6-10 hours a week,Usually (61-80%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Usually (61-80%),Sometimes (41-60%),Usually (61-80%),Usually (61-80%),"Graduate course work material,Online CEU training",,Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Usually (61-80%),Sometimes (41-60%),Usually (61-80%),Usually (61-80%),Almost always (81-100%),Sometimes (41-60%),Usually (61-80%),Almost always (81-100%),Sometimes (41-60%),Usually (61-80%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Sometimes (41-60%),Almost never (0-20%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Almost always (81-100%),Yes,Sometimes (41-60%),Usually (61-80%)
2018-11-14 13:16:04,2018-11-14 13:23:53,IP Address,134.197.0.20,100,469,True,2018-11-14 13:23:54,R_2aQzxJb4hfl4j5R,,,,,39.5296020507812,-119.81379699707,anonymous,EN,Yes,5,5,Behavior analysis,,Professor,,University or college,,Nevada,"Agency,Individual private practice",,Group and Individual fieldwork,"Conferences or workshops,Individual mentoring",,7,7,0,"Protected office planning time,Training on supervision practices,Performance feedback from another BCBA Supervisor,Monetary compensation",,Almost always (81-100%),1-3 candidates,Almost always (81-100%),Almost always (81-100%),Yes,Almost always (81-100%),Almost always (81-100%),1-5 hours a week,1-3 clients/consumers,Usually (61-80%),Self,No,I do not supervise RBTs.,Sometimes (41-60%),1-3 candidates,Usually (61-80%),6-10 hours a week,Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),"Graduate course work material,Mentorship",,Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Rarely (21-40%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Sometimes (41-60%),Almost never (0-20%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Usually (61-80%),Yes,Usually (61-80%),Usually (61-80%)
2018-11-14 13:15:03,2018-11-14 13:24:20,IP Address,172.58.56.249,100,556,True,2018-11-14 13:24:21,R_2Tt1JY545r9oUnS,,,,,39.7391967773437,-104.984703063965,anonymous,EN,Yes,3,3,Behavior analysis,,Behavior analyst,,Home-based,,Colorado,Individual private practice,,Individual fieldwork,"Institution based course work,Internet based continuing education,Conferences or workshops,Individual mentoring",,5,2,0,"Protected office planning time,Training on supervision practices,Performance feedback from another BCBA Supervisor,Supervision Curriculum",,Almost always (81-100%),1-3 candidates,Almost always (81-100%),Sometimes (41-60%),No,,,6-10 hours a week,4-7 clients/consumers,Almost always (81-100%),Self,Yes,20% of patient's direct services,Sometimes (41-60%),1-3 candidates,Sometimes (41-60%),6-10 hours a week,Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),"Graduate course work material,Mentorship,Live CEU events,Online CEU training,Published supervision curriculum",,Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Almost always (81-100%),Usually (61-80%),Almost always (81-100%),Sometimes (41-60%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost never (0-20%),Almost never (0-20%),Almost never (0-20%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Almost always (81-100%),Sometimes (41-60%),Yes,Rarely (21-40%),Almost always (81-100%)
